#,Target,Mode,IP,URL Rating,Domain Rating,Ahrefs Rank,Domains,Ref domains Dofollow,Ref domains Governmental,Ref domains Educational,Ref IPs,Ref SubNets,Linked Domains,Total Backlinks,Backlinks Text,Backlinks NoFollow,Backlinks Redirect,Backlinks Image,Backlinks Frame,Backlinks Form,Backlinks Governmental,Backlinks Educational,Total Keywords,Total Traffic (desc)
53,eni-ingemar.se,subdomains,194.9.94.85,,0.9,69600363,20,18,0,0,29,26,3,73,73,49,0,0,0,0,0,0,0,0
35,vrijwilligoppad.nu,subdomains,91.201.60.88,,0.9,69615389,18,17,0,0,21,19,30,208,208,8,0,0,0,0,0,0,3,0
138,linnnet.se,subdomains,194.9.94.85,,0.9,69679919,2,2,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0
129,efsalvsbyn.se,subdomains,,,0.9,69767253,20,18,0,0,20,16,1,24,24,2,0,0,0,0,0,0,0,0
43,levabredvidcancer.se,subdomains,194.9.94.85,,0.9,69792372,1,1,0,0,1,1,10,5,5,0,0,0,0,0,0,0,0,0
130,geflemyntklubb.se,subdomains,194.9.94.86,,0.9,70214892,18,11,0,0,17,17,1,61,61,16,0,0,0,0,0,0,0,0
77,rullskidsm2015.se,subdomains,194.9.94.85,,0.9,70246492,5,3,0,0,5,5,3,24,24,9,0,0,0,0,0,0,0,0
114,pcmobile.se,subdomains,194.9.94.86,,0.9,70605905,8,3,0,0,10,10,3,50,50,10,0,0,0,0,0,0,0,0
78,kdskaraborg.se,subdomains,188.114.228.7,,0.9,70673172,13,8,0,0,12,11,24,51,49,22,2,2,0,0,0,0,1,0
23,fluortanten.se,subdomains,194.9.94.86,,0.8,70813175,5,4,0,0,5,5,1,18,17,0,1,0,0,0,0,0,0,0
183,orionmaleri.se,subdomains,194.9.94.85,,0.8,71028576,3,3,0,0,3,2,1,3,3,0,0,0,0,0,0,0,0,0
187,brf-aftonstjarnan.se,subdomains,194.9.94.85,,0.8,71048390,1,1,0,0,3,3,1,3,3,0,0,0,0,0,0,0,0,0
81,tjustmk.se,subdomains,194.9.94.85,,0.8,71240087,8,8,0,0,7,7,1,2095,2095,0,0,0,0,0,0,0,0,0
175,skaneselcenter.se,subdomains,35.228.128.110,,0.8,71260850,7,3,0,0,7,7,1,90,90,12,0,77,0,0,0,0,0,0
122,sbf-karting.se,subdomains,194.9.94.86,,0.8,71395742,6,4,0,0,15,14,1,67,67,10,0,0,0,0,0,0,0,0
73,raja-yoga.nu,subdomains,194.9.94.85,,0.8,71453509,9,8,0,0,7,7,1,10,10,1,0,0,0,0,0,0,0,0
82,yogakalmar.se,subdomains,194.9.94.85,,0.8,71604973,4,1,0,0,5,5,3,10,10,9,0,0,0,0,0,0,0,0
106,luckelull.se,subdomains,194.9.94.86,,0.8,71808793,29,25,0,0,43,37,42,3685,3685,114,0,3444,0,0,0,0,0,0
141,brittakleberg.se,subdomains,194.9.94.85,,0.8,71884950,7,6,0,0,22,19,3,64,64,1,0,0,0,0,0,0,0,0
61,psyoungsupport.se,subdomains,194.9.94.86,,0.8,71916162,24,16,0,2,28,24,3,148,148,11,0,0,0,0,0,7,0,0
156,vatorcapital.se,subdomains,194.9.94.85,,0.8,71922226,3,2,0,0,3,3,1,5,5,1,0,0,0,0,0,0,0,0
16,luftkonditioneringstockholm.nu,subdomains,185.133.206.152,,0.8,71962252,3,3,0,0,3,3,2,7,7,0,0,1,0,0,0,0,23,1
80,tinaochoversten.se,subdomains,194.9.94.86,,0.8,71968174,9,5,0,0,11,11,7,20,19,5,1,0,0,0,0,0,0,0
30,skatterådgivningstockholm.se,subdomains,91.201.60.88,,0.8,72002553,3,2,0,0,3,3,0,8,8,2,0,0,0,0,0,0,6,10
143,sdbk.se,subdomains,,,0.8,72058440,12,8,0,0,22,20,0,50,49,4,1,17,0,0,0,0,0,0
139,tonfisskarna.se,subdomains,194.9.94.86,,0.8,72099588,5,5,0,0,26,20,6,345,345,0,0,17,0,0,0,0,0,0
142,skanegatanstandvard.se,subdomains,,,0.8,72144180,1,1,0,0,1,1,4,3,3,0,0,0,0,0,0,0,0,0
119,pulsenosby.se,subdomains,194.9.94.85,,0.8,72145722,4,3,0,0,5,5,1,32,32,1,0,1,0,0,0,0,0,0
131,villacarlsson.se,subdomains,194.9.94.86,,0.8,72377856,1,1,0,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0
190,webbuilderscafe.com,subdomains,94.46.124.103,,0.8,72403373,26,21,0,0,35,31,34,171,171,47,0,8,0,0,0,0,0,0
140,restaurangfrolundaborg.se,subdomains,194.9.94.85,,0.8,72516021,4,3,0,0,4,4,8,9,9,1,0,0,0,0,0,0,0,0
64,melusine.nu,subdomains,194.9.94.85,,0.8,72582134,12,10,0,0,13,12,1,68,68,3,0,5,0,0,0,0,0,0
159,paura.se,subdomains,194.9.94.86,,0.8,72628026,5,5,0,0,4,4,1,75,75,6,0,6,0,0,0,0,0,0
184,europadirektskaraborg.se,subdomains,194.9.94.86,,0.8,72685155,1,1,0,0,1,1,2,1,1,0,0,1,0,0,0,0,0,0
80,mjf-r.se,subdomains,,,0.8,72797211,2,2,0,0,4,4,37,262,262,0,0,0,0,0,0,0,0,0
144,tolleredtillsammans.se,subdomains,194.9.94.86,,0.7,72856593,1,1,0,0,1,1,1,2,2,0,0,2,0,0,0,0,0,0
40,städstockholm.se,subdomains,185.133.206.152,,0.7,72921850,1,1,0,0,1,1,0,4,4,0,0,0,0,0,0,0,2,0
133,värmepumpistockholm.se,subdomains,194.9.94.85,,0.7,72921861,1,1,0,0,1,1,3,8,8,0,0,0,0,0,0,0,0,0
84,reumatikernaimark.se,subdomains,194.9.94.86,,0.7,73003838,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0
173,hansmikaels.se,subdomains,194.9.94.85,,0.7,73104169,30,30,0,0,32,26,1,1899,1899,0,0,572,0,0,0,0,0,0
104,nwarkansasredcross.org,subdomains,194.9.94.86,,0.7,73176358,16,16,0,0,33,26,1,202,202,38,0,0,0,0,0,0,0,0
83,internetreclame.nu,subdomains,,,0.7,73351172,18,17,0,0,37,32,1,162,162,1,0,2,0,0,0,0,0,0
86,siemens-digitaltransformation.se,subdomains,35.228.119.231,,0.7,73382820,20,17,0,0,28,22,4,166,166,146,0,0,0,0,0,0,0,0
85,klarafilmen.se,subdomains,194.9.94.85,,0.7,73547506,13,11,0,0,20,19,9,35,35,2,0,0,0,0,0,0,0,0
165,gerstorpryttarsallskap.se,subdomains,194.9.94.85,,0.7,73715810,3,2,0,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0
82,homj.se,subdomains,194.9.94.86,,0.7,73903996,3,3,0,0,3,3,13,4,4,0,0,0,0,0,0,0,0,0
123,mn-entreprenad.se,subdomains,194.9.94.86,,0.7,73925676,7,3,0,0,7,7,1,135,135,21,0,0,0,0,0,0,0,0
45,pengsjomuseum.se,subdomains,,,0.7,73946669,23,13,0,0,22,22,1,49,47,15,0,6,0,0,0,0,0,0
125,rh-supervising.se,subdomains,194.9.94.86,,0.7,74065628,7,2,0,0,8,8,3,347,347,8,0,0,0,0,0,0,0,0
134,solmontoren.se,subdomains,194.9.94.85,,0.7,74104867,4,1,0,0,3,3,3,61,61,16,0,61,0,0,0,0,0,0
177,pinochet.nu,subdomains,194.9.94.85,,0.7,74270790,5,5,0,0,4,4,1,14,14,0,0,0,0,0,0,0,0,0
87,maklarfirmanramqvist.se,subdomains,194.9.94.86,,0.7,74741739,5,5,0,0,5,3,3,39,35,0,4,4,0,0,0,0,0,0
133,explorechina.se,subdomains,194.9.94.85,,0.7,74837125,22,19,0,1,21,18,9,45,42,2,3,2,0,0,0,22,0,0
133,ordochutveckling.nu,subdomains,194.9.94.86,,0.7,75042966,12,8,0,0,16,14,1,36,35,13,0,9,0,0,0,0,0,0
132,spf-tanumskusten.nu,subdomains,194.9.94.86,,0.7,75197175,2,2,0,0,2,2,1,3,3,0,0,0,0,0,0,0,0,0
84,jolleblogg.se,subdomains,194.9.94.85,,0.7,75318895,3,2,0,0,4,4,6,387,387,1,0,0,0,0,0,0,0,0
188,bolevaverka.se,subdomains,194.9.94.85,,0.6,75482878,2,2,0,0,3,3,2,5,5,0,0,0,0,0,0,0,0,0
138,brodernaolsson.se,subdomains,,,0.6,75590374,3,2,0,0,3,3,0,4,4,1,0,0,0,0,0,0,2,0
91,larlingskompassen.se,subdomains,194.9.94.85,,0.6,75662962,2,1,0,0,2,2,1,3,3,1,0,0,0,0,0,0,0,0
20,bandit1063.se,subdomains,194.9.94.86,,0.6,76068078,15,12,0,0,19,18,1,59,59,19,0,0,0,0,0,0,0,0
70,popularscience.se,subdomains,,,0.6,76239408,2,1,0,0,2,2,0,10,10,1,0,0,0,0,0,0,0,0
135,innehav.se,subdomains,194.9.94.85,,0.6,76282416,7,3,0,0,9,8,1,17,17,9,0,0,0,0,0,0,0,0
168,marialuisa.se,subdomains,194.9.94.85,,0.6,76284968,13,5,0,0,31,26,3,1275,1275,25,0,17,0,0,0,0,0,0
139,vuxnamotdroger.nu,subdomains,194.9.94.85,,0.6,76309492,18,17,0,0,36,30,8,1252,1252,2,0,0,0,0,0,0,0,0
136,markarydstaxi.se,subdomains,,,0.6,76477901,5,3,0,0,3,3,4,48,48,42,0,0,0,0,0,0,1,4
89,hogsjoservice.se,subdomains,194.9.94.86,,0.6,76844814,9,3,0,0,8,8,5,15,15,10,0,1,0,0,0,0,0,0
137,youngladiesinbusiness.se,subdomains,194.9.94.85,,0.6,77046347,3,2,0,1,5,3,5,9,9,1,0,0,0,0,0,3,0,0
