Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
EXCHANGE,Current,2024-04-27 13:17:36,2024-04-27 13:17:36,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-04-29 10:52:14,2024-04-29 10:52:14,Exchange to SEK,2500.00,0.00,SEK,COMPLETED,2500.00
TRANSFER,Current,2024-04-29 10:52:28,2024-04-29 10:52:28,"Revolut Bank UAB, Sucursal en España",-2500.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-04-29 10:53:24,2024-04-29 10:53:24,Exchange to SEK,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-04-29 19:46:17,2024-04-29 19:46:17,Exchange to EUR,-568.75,0.00,SEK,COMPLETED,431.25
EXCHANGE,Current,2024-04-30 09:14:00,2024-04-30 09:14:00,Exchange to SEK,1000.00,0.00,SEK,COMPLETED,1431.25
TRANSFER,Current,2024-04-30 09:18:57,2024-04-30 15:11:37,International Transfer,-1000.00,0.00,SEK,COMPLETED,431.25
CARD_PAYMENT,Current,2024-04-29 11:39:11,2024-04-30 15:23:52,Adobe,-431.25,0.00,SEK,COMPLETED,0.00
CARD_REFUND,Current,2024-04-29 15:59:29,2024-04-30 15:24:33,Adobe,431.25,0.00,SEK,COMPLETED,431.25
EXCHANGE,Current,2024-04-30 15:34:40,2024-04-30 15:34:40,Exchange to EUR,-431.25,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-03 13:19:00,2024-05-03 13:19:05,Top-Up by *7097,850.00,0.00,SEK,COMPLETED,850.00
EXCHANGE,Current,2024-05-03 13:19:13,2024-05-03 13:19:13,Exchange to EUR,-850.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-05-04 00:39:27,2024-05-04 00:39:27,Transfer from Revolut user,815.00,0.00,SEK,COMPLETED,815.00
EXCHANGE,Current,2024-05-04 01:39:22,2024-05-04 01:39:22,Exchange to EUR,-815.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-10 19:38:54,2024-05-10 19:39:24,Top-Up by *7097,1580.00,0.00,SEK,COMPLETED,1580.00
EXCHANGE,Current,2024-05-10 21:23:06,2024-05-10 21:23:06,Exchange to EUR,-720.14,0.00,SEK,COMPLETED,859.86
ATM,Current,2024-05-10 19:41:07,2024-05-11 11:42:24,Cash at 100610126,-859.86,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-11 14:11:05,2024-05-11 14:11:10,Top-Up by *7097,200.00,0.00,SEK,COMPLETED,200.00
EXCHANGE,Current,2024-05-11 14:11:22,2024-05-11 14:11:22,Exchange to EUR,-200.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-05-11 18:29:45,2024-05-11 18:29:45,Transfer from Revolut user,5000.00,0.00,SEK,COMPLETED,5000.00
CARD_PAYMENT,Current,2024-05-11 22:13:29,2024-05-12 10:31:15,Glovo,-246.96,2.47,SEK,COMPLETED,4750.57
CARD_PAYMENT,Current,2024-05-11 20:00:22,2024-05-12 11:07:30,Sky Bar Hotel Almudaina,-122.95,1.23,SEK,COMPLETED,4626.39
CARD_PAYMENT,Current,2024-05-11 18:32:51,2024-05-12 11:07:30,Sky Bar Hotel Almudaina,-228.34,2.28,SEK,COMPLETED,4395.77
CARD_PAYMENT,Current,2024-05-11 18:35:22,2024-05-12 11:07:35,Sky Bar Hotel Almudaina,-222.48,2.22,SEK,COMPLETED,4171.07
EXCHANGE,Current,2024-05-12 12:19:07,2024-05-12 12:19:07,Exchange to EUR,-4055.76,0.00,SEK,COMPLETED,115.31
CARD_PAYMENT,Current,2024-05-11 21:57:46,2024-05-12 13:18:24,Bendita,-114.17,1.14,SEK,COMPLETED,0.00
TRANSFER,Current,2024-05-17 11:24:23,2024-05-17 11:24:23,"Revolut Bank UAB, Sucursal en España",915.00,0.00,SEK,COMPLETED,915.00
CARD_PAYMENT,Current,2024-05-17 11:27:29,2024-05-19 15:15:26,Go Daddy,-910.60,0.00,SEK,COMPLETED,4.40
CARD_PAYMENT,Current,2024-05-19 02:00:00,2024-05-21 10:35:03,Transport de les Illes Balears,-31.41,0.00,SEK,COMPLETED,-27.01
EXCHANGE,Current,2024-05-21 10:44:35,2024-05-21 10:44:35,Exchange to SEK,4.28,0.00,SEK,COMPLETED,-22.73
EXCHANGE,Current,2024-05-21 10:44:35,2024-05-21 10:44:35,Exchange to SEK,0.10,0.00,SEK,COMPLETED,-22.63
TOPUP,Current,2024-05-21 21:50:36,2024-05-21 21:51:00,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,977.37
EXCHANGE,Current,2024-05-21 21:51:17,2024-05-21 21:51:17,Exchange to EUR,-977.37,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-22 12:51:11,2024-05-22 12:51:17,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-05-22 12:51:32,2024-05-22 12:51:32,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-27 12:58:12,2024-05-27 12:58:16,Top-Up by *7097,317.00,0.00,SEK,COMPLETED,317.00
EXCHANGE,Current,2024-05-27 12:58:28,2024-05-27 12:58:28,Exchange to EUR,-317.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-28 23:28:51,2024-05-28 23:28:55,Top-Up by *7097,200.00,0.00,SEK,COMPLETED,200.00
EXCHANGE,Current,2024-05-28 23:29:17,2024-05-28 23:29:17,Exchange to EUR,-200.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-05-29 12:20:32,2024-05-29 12:20:53,Top-Up by *7097,758.00,0.00,SEK,COMPLETED,758.00
EXCHANGE,Current,2024-05-29 12:21:05,2024-05-29 12:21:05,Exchange to EUR,-758.00,0.00,SEK,COMPLETED,0.00
TRANSFER,Current,2024-05-29 16:04:41,2024-05-29 16:04:41,"Revolut Bank UAB, Sucursal en España",10.00,0.00,SEK,COMPLETED,10.00
EXCHANGE,Current,2024-05-29 16:05:13,2024-05-29 16:05:13,Exchange to SEK,10.00,0.00,SEK,COMPLETED,20.00
EXCHANGE,Current,2024-05-29 19:59:36,2024-05-29 19:59:36,Exchange to EUR,-20.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-05-30 09:07:20,2024-05-30 09:07:20,Exchange to SEK,1000.00,0.00,SEK,COMPLETED,1000.00
TRANSFER,Current,2024-05-30 09:08:06,2024-05-30 09:08:06,Transfer to Revolut user,-1000.00,0.00,SEK,COMPLETED,0.00
EXCHANGE,Current,2024-05-31 17:47:15,2024-05-31 17:47:15,Exchange to SEK,1.00,0.00,SEK,COMPLETED,1.00
TOPUP,Current,2024-06-06 10:28:46,2024-06-06 10:28:52,Top-Up by *7097,554.00,0.00,SEK,COMPLETED,555.00
EXCHANGE,Current,2024-06-06 10:28:58,2024-06-06 10:28:58,Exchange to EUR,-555.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-07 12:52:38,2024-06-07 12:52:41,Top-Up by *7097,600.00,0.00,SEK,COMPLETED,600.00
EXCHANGE,Current,2024-06-07 12:53:00,2024-06-07 12:53:00,Exchange to EUR,-600.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-10 20:03:34,2024-06-10 20:03:39,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-06-10 20:03:53,2024-06-10 20:03:57,Top-Up by *7097,514.00,0.00,SEK,COMPLETED,1514.00
EXCHANGE,Current,2024-06-10 20:04:27,2024-06-10 20:04:27,Exchange to EUR,-1514.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-12 14:43:48,2024-06-12 14:43:51,Top-Up by *7097,120.00,0.00,SEK,COMPLETED,120.00
TOPUP,Current,2024-06-12 17:40:42,2024-06-12 17:40:45,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1120.00
TOPUP,Current,2024-06-12 17:40:54,2024-06-12 17:40:57,Top-Up by *7097,221.00,0.00,SEK,COMPLETED,1341.00
EXCHANGE,Current,2024-06-12 17:41:18,2024-06-12 17:41:18,Exchange to EUR,-504.37,0.00,SEK,COMPLETED,836.63
CARD_PAYMENT,Current,2024-06-12 19:05:53,2024-06-13 12:38:23,Glovo,-149.08,0.00,SEK,COMPLETED,687.55
EXCHANGE,Current,2024-06-13 12:51:55,2024-06-13 12:51:55,Exchange to EUR,-658.95,0.00,SEK,COMPLETED,28.60
CARD_PAYMENT,Current,2024-06-12 14:43:58,2024-06-13 13:12:50,Sapporet Bar,-28.60,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-14 15:01:02,2024-06-14 15:01:05,Top-Up by *7097,174.00,0.00,SEK,COMPLETED,174.00
EXCHANGE,Current,2024-06-14 15:01:22,2024-06-14 15:01:22,Exchange to EUR,-174.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-18 20:51:06,2024-06-18 20:51:09,Top-Up by *7097,215.00,0.00,SEK,COMPLETED,215.00
EXCHANGE,Current,2024-06-18 20:51:19,2024-06-18 20:51:19,Exchange to EUR,-215.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-20 22:43:52,2024-06-20 22:43:55,Top-Up by *7097,215.00,0.00,SEK,COMPLETED,215.00
TOPUP,Current,2024-06-20 23:16:11,2024-06-20 23:16:15,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1215.00
TOPUP,Current,2024-06-20 23:19:29,2024-06-20 23:19:32,Top-Up by *7097,696.00,0.00,SEK,COMPLETED,1911.00
EXCHANGE,Current,2024-06-20 23:20:32,2024-06-20 23:20:32,Exchange to EUR,-1072.19,0.00,SEK,COMPLETED,838.81
ATM,Current,2024-06-20 23:16:53,2024-06-21 11:32:16,Cash at Cashzone,-822.36,16.45,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-21 19:22:14,2024-06-21 19:22:18,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-06-21 19:23:19,2024-06-21 19:23:19,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-22 01:33:02,2024-06-22 01:33:06,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-06-22 01:33:32,2024-06-22 01:33:36,Top-Up by *7097,414.00,0.00,SEK,COMPLETED,1414.00
EXCHANGE,Current,2024-06-22 01:34:01,2024-06-22 01:34:01,Exchange to EUR,-1414.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-22 01:41:45,2024-06-22 01:41:48,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-06-22 01:41:57,2024-06-22 01:41:57,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-22 14:10:46,2024-06-22 14:11:30,Top-Up by *7097,500.00,0.00,SEK,COMPLETED,500.00
EXCHANGE,Current,2024-06-22 14:11:47,2024-06-22 14:11:47,Exchange to EUR,-500.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-23 00:45:45,2024-06-23 00:46:10,Top-Up by *7097,1500.00,0.00,SEK,COMPLETED,1500.00
EXCHANGE,Current,2024-06-23 02:09:13,2024-06-23 02:09:13,Exchange to EUR,-566.21,0.00,SEK,COMPLETED,933.79
CARD_PAYMENT,Current,2024-06-23 01:42:44,2024-06-23 10:15:12,Luna Palma,-180.40,1.80,SEK,COMPLETED,751.59
CARD_PAYMENT,Current,2024-06-23 01:28:45,2024-06-23 10:15:12,Luna Palma,-225.50,2.26,SEK,COMPLETED,523.83
CARD_PAYMENT,Current,2024-06-23 00:51:06,2024-06-23 10:15:14,Luna Palma,-518.64,5.19,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-24 20:40:06,2024-06-24 20:40:51,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-06-24 20:41:25,2024-06-24 20:41:25,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-24 22:05:14,2024-06-24 22:05:40,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
EXCHANGE,Current,2024-06-24 22:06:11,2024-06-24 22:06:11,Exchange to EUR,-1000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-24 23:49:36,2024-06-24 23:49:56,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,1000.00
TOPUP,Current,2024-06-24 23:50:03,2024-06-24 23:50:17,Top-Up by *7097,1000.00,0.00,SEK,COMPLETED,2000.00
EXCHANGE,Current,2024-06-24 23:50:26,2024-06-24 23:50:26,Exchange to EUR,-2000.00,0.00,SEK,COMPLETED,0.00
TOPUP,Current,2024-06-28 17:04:05,2024-06-28 17:04:09,Top-Up by *7097,120.00,0.00,SEK,COMPLETED,120.00
TOPUP,Current,2024-06-28 17:26:47,2024-06-28 17:26:50,Top-Up by *7097,150.00,0.00,SEK,COMPLETED,270.00
EXCHANGE,Current,2024-06-28 17:27:00,2024-06-28 17:27:00,Exchange to EUR,-202.82,0.00,SEK,COMPLETED,67.18
TOPUP,Current,2024-06-29 09:44:14,2024-06-29 09:44:17,Top-Up by *7097,800.00,0.00,SEK,COMPLETED,867.18
EXCHANGE,Current,2024-06-29 09:44:50,2024-06-29 09:44:50,Exchange to EUR,-800.00,0.00,SEK,COMPLETED,67.18
EXCHANGE,Current,2024-06-29 18:15:58,2024-06-29 18:15:58,Exchange to SEK,471.58,4.72,SEK,COMPLETED,534.04
CARD_PAYMENT,Current,2024-06-28 17:04:29,2024-06-29 20:17:07,Tabacos,-67.18,0.00,SEK,COMPLETED,466.86
TOPUP,Current,2024-06-30 11:46:28,2024-06-30 11:46:31,Top-Up by *7097,500.00,0.00,SEK,COMPLETED,966.86
EXCHANGE,Current,2024-06-30 11:46:51,2024-06-30 11:46:51,Exchange to EUR,-500.86,0.00,SEK,COMPLETED,466.00
CARD_PAYMENT,Current,2024-06-29 18:16:21,2024-06-30 16:16:15,bet365,-466.00,0.00,SEK,COMPLETED,0.00
